Date,FIPS,Recip_County,Recip_State,Series_Complete_Yes,Series_Complete_Pop_Pct,pop,county,state,y,pop_num,n,row_id,ind_post_mean,ind_CI_low,ind_CI_high,hier_post_mean,hier_CI_low,hier_CI_high,pred_mean,pred_PI_low,pred_PI_high,obs_rate,label
9/14/2022,02122,Kenai Peninsula Borough,AK,28952,49.3,66753.76884,Kenai Peninsula Borough,AK,28952,66753.76884,66754,11,0.4337480878536858,0.43017345084939407,0.43729422462980355,0.43367068436969697,0.42998657397436885,0.43744773824122807,28944.926,28593.95,29316.025,0.43371183749288433,Kenai Peninsula Borough | 02122
9/14/2022,02130,Ketchikan Gateway Borough,AK,9286,66.8,17586.24709,Ketchikan Gateway Borough,AK,9286,17586.24709,17586,12,0.528156360066716,0.520697682378049,0.5354969942341024,0.528224705180835,0.5207235334779983,0.5353462020538232,9289.7235,9106,9476.025000000001,0.528033663141135,Ketchikan Gateway Borough | 02130
9/14/2022,02150,Kodiak Island Borough,AK,8605,66.2,31334.80176,Kodiak Island Borough,AK,8605,31334.80176,31335,13,0.27467270888594986,0.2697637080976251,0.27955966484601846,0.2746701736193606,0.26975524933540784,0.2796933948314538,8606.8785,8387,8829.025,0.2746130524972076,Kodiak Island Borough | 02150
9/14/2022,02158,Kusilvak Census Area,AK,5700,68.6,3885.85209,Kusilvak Census Area,AK,5700,3885.85209,5700,14,0.9998281432471049,0.9993501969894699,0.9999958283909209,0.9999599083847321,0.9996990302105386,0.9999999999986661,5699.7645,5698,5700,1,Kusilvak Census Area | 02158
9/14/2022,02164,Lake and Peninsula Borough,AK,953,59.9,14499.2126,Lake and Peninsula Borough,AK,953,14499.2126,14499,15,0.06584268778918029,0.06193495416894866,0.06988288674380137,0.06574670943021733,0.06171636618425612,0.06964635232447376,954.5985,873,1035.0249999999999,0.06572867094282364,Lake and Peninsula Borough | 02164
9/14/2022,02170,Matanuska-Susitna Borough,AK,45051,41.6,2114.52514,Matanuska-Susitna Borough,AK,45051,2114.52514,45051,16,0.999978073999818,0.9999171574857747,0.9999993370789266,0.9999954570000796,0.9999672076809497,0.9999999999998317,45050.8045,45049,45051,1,Matanuska-Susitna Borough | 02170
9/14/2022,02185,North Slope Borough,AK,3922,39.9,26302.66344,North Slope Borough,AK,3922,26302.66344,26303,17,0.14915029727636486,0.1448755268462074,0.15338824565203346,0.14911683175951937,0.14499996333669868,0.15319972397562173,3922.231,3766,4079.0249999999996,0.14910846671482342,North Slope Borough | 02185
9/14/2022,02195,Petersburg Census Area,AK,2516,77,54370.92732,Petersburg Census Area,AK,2516,54370.92732,54371,18,0.04628089062410698,0.044543317767164206,0.048072601193695746,0.04628312325051898,0.044583856552336175,0.0481236103042785,2516.5815,2386.975,2651,0.04627466848135955,Petersburg Census Area | 02195
9/14/2022,02198,Prince of Wales-Hyder Census Area,AK,3352,54,14543.76658,Prince of Wales-Hyder Census Area,AK,3352,14543.76658,14544,19,0.23060232999714253,0.22390693359571479,0.23750136921394388,0.23050955664867445,0.2236045536669949,0.23747562518157894,3351.2835,3211,3490,0.23047304730473048,Prince of Wales-Hyder Census Area | 02198
9/14/2022,02220,Sitka City and Borough,AK,6783,79.9,25289.61749,Sitka City and Borough,AK,6783,25289.61749,25290,20,0.268289377490535,0.26302965152205365,0.2735699517553905,0.26821998947995745,0.2625668706538702,0.27379236454982653,6784.1245,6583.950000000001,6982.025,0.268208778173191,Sitka City and Borough | 02220
9/14/2022,02230,Skagway Municipality,AK,867,73.3,22786.69276,Skagway Municipality,AK,867,22786.69276,22787,21,0.03805898260541103,0.03568403170787013,0.04044581041338419,0.03803381854327075,0.03559869299617083,0.040537378396784625,867.122,790.95,948.0249999999999,0.038048009830166325,Skagway Municipality | 02230
9/14/2022,02240,Southeast Fairbanks Census Area,AK,2875,41.7,68059.04059,Southeast Fairbanks Census Area,AK,2875,68059.04059,68059,22,0.04224791676169511,0.040727619104316944,0.043799253444212524,0.04224024616506261,0.040762621158858446,0.04369939651919292,2874.405,2730,3025.025,0.0422427599582715,Southeast Fairbanks Census Area | 02240
9/14/2022,02261,Valdez-Cordova Census Area,AK,5878,63.9,10671.42857,Valdez-Cordova Census Area,AK,5878,10671.42857,10671,23,0.550802993000173,0.5412002644358718,0.5602095152220354,0.55097495907735194,0.5416592667702251,0.5603354274292323,5880.429,5739,6023.025,0.5508387217692813,Valdez-Cordova Census Area | 02261
